sent_id,sentence,entities
147,"August 11 : German Revolution ends with the collapse of the German Empire and the establishment of the Weimar Republic .
November 19 : Release date of Feline Follies , the first appearance of Felix the Cat (then known as Master Tom).
","['German', 'the Weimar Republic']"
150,"1920s
1920
January 10 : League of Nations founded.
January 17 : Prohibition in the United States begins.
",['the United States']
151,"February 2 : Victory for Estonia in the Estonian War of Independence .
",['Estonia']
152,"April 25 : Mandatory Palestine established.
April 27 – 28 : Red Army invasion of Azerbaijan and Armenia ends the Armenian–Azerbaijani War and concludes with their incorporation into the Soviet Union.
September 5 : Mahatma Gandhi launches Non-cooperation movement .
","['the Soviet Union', 'Azerbaijan', 'Armenia', 'Armenian']"
153,"December 1 : Mexican Revolution ends.
",['Mexican']
154,"Greece restores its monarchy after a referendum .
",['Greece']
155,"1921
Russian famine of 1921–1922 begins.
",['Russian']
157,"February – March : Russia invades Georgia and incorporates it into the Soviet Union.
March 4 : Warren G. Harding is inaugurated as President of the United States.
","['Russia', 'the Soviet Union', 'Georgia', 'the United States']"
158,"March 18 : End of the Polish–Soviet War .
",['Polish']
159,"July 29 : Adolf Hitler becomes Führer of the Nazi Party as hyperinflation in the Weimar Republic begins.
November 9 : The Italian National Fascist Party is established by Benito Mussolini .
November 17 : End of the Ukrainian–Soviet War .
","['the Weimar Republic', 'Ukrainian']"
161,"Coup brings the Pahlavi dynasty to power in Iran.
","['Pahlavi', 'Iran']"
167,"February 28 : Egypt gains independence from the United Kingdom , though British forces still occupy the Suez Canal .
June 28 : The Irish Civil War begins.
July 29 : Julius the Cat debuts in Disney.
September 4 : Jack debuts in Disney.
October 23 : Conservative Bonar Law becomes Prime Minister of the United Kingdom.
","['Egypt', 'the United Kingdom', 'British', 'the Suez Canal']"
168,"October 28 : March on Rome brings Benito Mussolini to power in Italy.
","['Rome', 'Italy']"
169,"November 1 : Ottoman Sultanate abolished by the Grand National Assembly of Turkey ; Sultan Mehmed VI is deposed.
November 4 : Howard Carter discovers the Tomb of Tutankhamun .
","['Sultan', 'Ottoman']"
172,"Irish Free State is established, while the province of Northern Ireland is created within The United Kingdom .
","['The United Kingdom', 'Northern Ireland']"
173,"December 16 : Gabriel Narutowicz , President of Poland , is assassinated.
",['Poland']
174,"December 30 : The Union of Soviet Socialist Republics (USSR), the world's first officially Communist state , is formed.
","['USSR', 'Communist']"
175,"The union of Costa Rica , Guatemala , Honduras and El Salvador is dissolved.
","['El Salvador', 'Honduras', 'Costa Rica', 'Guatemala']"
177,"1923
January 26 : The Italian reconquest of Libya begins.
","['Italian', 'Libya']"
179,"May 22 : Stanley Baldwin becomes Prime Minister of the United Kingdom.
",['the United Kingdom']
181,"June 9 : A military coup ousts and kills Bulgarian Prime Minister Aleksandar Stamboliyski .
",['Bulgarian']
183,"August 2 : Death of Warren G. Harding ; Vice President Calvin Coolidge assumes office as President of the United States.
September 1 : The Great Kantō earthquake kills at least 105,000 people in Japan .
","['Japan', 'the United States']"
184,"October 11 : Turkish War of Independence ends; Ankara replaces Istanbul as its capital.
October 16 : The Walt Disney Company is founded.
October 29 : Mustafa Kemal Atatürk becomes the first President of the newly established Republic of Turkey .
","['Republic of Turkey', 'Istanbul', 'Ankara']"
185,"November 8 : The Beer Hall Putsch , an attempt to overthrow the Weimar Republic , ends in failure and brief imprisonment for Adolf Hitler but brings the Nazi Party to national attention.
November 15 : Hyperinflation in the Weimar Republic ends with the introduction of the Rentenmark .
",['the Weimar Republic']
188,"January 22 : Ramsay MacDonald becomes Prime Minister of the United Kingdom; first Labour Party prime minister.
",['the United Kingdom']
189,"January 25 – February 5 : The first edition of the Winter Olympic Games is hosted in Chamonix , France.
","['France', 'Chamonix']"
190,"February 12 : Rhapsody in Blue by George Gershwin premieres in New York City.
",['New York City']
192,"May 24 : Immigration Act of 1924 significantly restricts immigration from Asia, the Middle East, and Southern Europe to USA.
","['the Middle East', 'Asia', 'Southern Europe', 'USA']"
193,"August 28 : The August Uprising in Georgia against Soviet rule.
","['Soviet', 'Georgia']"
194,"November 1 : Teacher debuts in Disney.
November 4 : Conservative Stanley Baldwin becomes Prime Minister of the United Kingdom.
",['the United Kingdom']
199,"Saudi conquest of Hejaz .
","['Hejaz', 'Saudi']"
200,"Serum run to Nome .
",['Nome']
201,"1926
May 12 – 14 : May Coup in Poland.
",['Poland']
202,"May 28 : 28 May 1926 coup d'état in Portugal.
",['Portugal']
203,"June 19 : National Broadcasting Company (NBC) founded in New York City.
",['New York City']
204,"July 1 : The Kuomintang begins the Northern Expedition , a military unification campaign in northern China.
",['China']
205,"August 22 : General Georgios Kondylis overthrows General Theodoros Pangalos in Greece.
",['Greece']
206,"December 25 : Emperor Taishō dies; his son, the Emperor Shōwa (Hirohito) becomes Emperor of Japan.
",['Japan']
207,"1927
January 1 : The BBC is granted a Royal charter in the United Kingdom.
","['Royal', 'the United Kingdom']"
208,"May : The Parliament of Australia convenes in Canberra for the first time.
","['Australia', 'Canberra']"
209,"May 13 : The United Kingdom of Great Britain and Ireland officially becomes the United Kingdom of Great Britain and Northern Ireland .
","['Northern Ireland', 'the United Kingdom of Great Britain', 'The United Kingdom of Great Britain', 'Ireland']"
210,"May 18 : The Bath School disaster , a series of violent attacks by Andrew Kehoe results in 45 deaths in Michigan , USA.
","['USA', 'Michigan']"
211,"May 20 : Saudi Arabia gains independence.
",['Saudi Arabia']
212,"May 20 – 21 : Charles Lindbergh performs the first nonstop flight from New York City to Paris; becomes a world hero.
","['Paris', 'New York City']"
215,"September 18 : Columbia Broadcasting System (CBS) founded in New York City.
",['New York City']
216,"September 19 : Fanny Cottontail debuts in Disney.
October 4 : Mount Rushmore construction begins in South Dakota, U.S.
October 6 : The Jazz Singer , the first "" talkie "", is released.
October 31 : Homer the Cat debuts in Disney.
","['U.S.', 'South Dakota']"
217,"November 12 : Soviet general secretary Joseph Stalin becomes dictator of the Soviet Union .
","['Soviet', 'the Soviet Union']"
221,"July 24 : The Kellogg–Briand Pact is signed in Paris.
September 1 : King Zog I is crowned in Albania.
September 3 : Accidental rediscovery of penicillin by Alexander Fleming .
November 14 : Afghan Civil War (1928–1929) begins.
November 18 : Steamboat Willie , is the first appearance of Mickey Mouse .","['Albania', 'Paris']"
223,"December 29 : The Warlord Era ends in China.
",['China']
225,"Malta becomes a British Dominion .
","['Malta', 'British']"
226,"Chinese famine of 1928–1930 begins.
",['Chinese']
230,"February 11 : Pope Pius XI signs the Lateran Treaty with Italian leader Benito Mussolini , after which the Vatican City is recognised as a sovereign state.
","['Italian', 'the Vatican City']"
231,"February 14 : Saint Valentine's Day Massacre , the murder of seven members and associates of Chicago's North Side Gang .
","['Chicago', 'North Side Gang']"
232,"March 4 : Herbert Hoover is inaugurated as President of the United States.
",['the United States']
233,"May 16 : The first Academy Awards are presented.
June 5 : Ramsay MacDonald becomes Prime Minister of the United Kingdom.
October 24 – 29 : Wall Street Crash of 1929 and the beginning of the Great Depression .
",['the United Kingdom']
234,"First people sent to the gulag in the Soviet Union as Stalin assumes effective control.
",['the Soviet Union']
236,"March 12 : Salt March by Mohandas Gandhi and the official start of civil disobedience in British India .
","['India', 'British']"
237,"April 2 : Haile Selassie becomes Emperor of Abyssinia .
",['Abyssinia']
239,"May 27 : Construction of Chrysler Building completed.
August 4 : King Kullen , widely regarded as the first supermarket, opens in Queens , New York City.
September 14 :","['New York City', 'Queens']"
242,"First Round Table Conference between India and Great Britain, which goes until January 1931.
","['Great Britain', 'India']"
243,"November 3 : The Vargas Era begins in Brazil.
",['Brazil']
244,"Soviet famine of 1930–1933 and Holodomor begin.
",['Soviet']
246,"March 3 : "" The Star-Spangled Banner "" is adopted as the United States 's national anthem .
","[""the United States 's""]"
249,"Floods in China kill up to 2.5 million people.
September : Japan invades Manchuria , part of the chain of events leading to the start of World War II.
October 5 : Clyde Pangborn and Hugh Herndon Jr. complete the first non-stop flight across the Pacific Ocean in their plane, Miss Veedol , in 41½ hours.
November 7 : The Chinese Soviet Republic is proclaimed by Mao Zedong .
","['Japan', 'the Pacific Ocean', 'China', 'Manchuria', 'Soviet Republic']"
251,"Independence of South Africa .
",['South Africa']
255,"1932
March 1 : Lindbergh kidnapping .
",['Lindbergh']
256,"March 9 : Éamon de Valera becomes President of the Executive Council (prime minister) of the Irish Free State .
June 4 : Military coup in Chile .
",['Chile']
257,"June 24 : Siamese Revolution establishes a constitutional monarchy .
September 9 : The Chaco War between Bolivia and Paraguay begins.
",['Bolivia']
258,November – December : Failed Emu War in Australia.,['Australia']
260,"Failed Emu War in Australia.
",['Australia']
264,"The Nazi party becomes the largest single party in the German parliament.
","['German', 'Nazi']"
266,"Adolf Hitler becomes Chancellor of Germany .
",['Germany']
267,"March 4 : Franklin D. Roosevelt is inaugurated as President of the United States
March 27 : Japan announces it will leave the League of Nations .
","['Japan', 'the United States']"
268,"October 14 : Germany announces its withdrawal from the League of Nations and the World Disarmament Conference, after the U.S., the U.K. and France deny its request to increase its defense armaments under the Versailles Treaty.
","['U.K.', 'U.S.', 'Germany', 'France']"
269,"December 5 : Prohibition in the United States is abolished.
",['the United States']
270,"New Deal begins in America.
",['America']
271,"United States occupation of Nicaragua ends.
","['United States', 'Nicaragua']"
273,"May 23 : Bonnie and Clyde are shot to death in a police ambush.
June 30 – July 2 : Adolf Hitler instigates the Night of the Long Knives , which cements his power over both the Nazi Party and Germany.
",['Germany']
275,"July 25 : Engelbert Dollfuss , Chancellor of Austria, is shot dead as part of a failed Nazi coup d'état .
August 1 : The United States occupation of Haiti ends.
","['The United States', 'Haiti', 'Nazi', 'Austria']"
276,"August 2 : With the death of Paul von Hindenburg , Hitler declares himself Führer of Germany.
",['Germany']
278,"November : David Toro overthrows the government of Bolivia in a military coup.
",['Bolivia']
280,"March 21 : Reza Shah of Iran asks the international community to formally adopt the name ""Iran"" to refer to the country, instead of the name ""Persia"".
June 12 : Chaco War ends.
","['Iran', 'Persia']"
281,"September 15 : Enactment of the Nuremberg racial laws .
",['Nuremberg']
283,"It includes events such as the exile of Haile Selassie and the conquest of Abyssinia by Benito Mussolini .
",['Abyssinia']
284,"1936
January 20 : Edward VIII becomes King of the British Commonwealth and Emperor of India .
",['India']
285,"May 9 : Italy annexes Ethiopia .
","['Italy', 'Ethiopia']"
287,"September 7 : The last known thylacine dies in Hobart Zoo .
",['Hobart Zoo']
291,"1936–1939 Arab revolt in Palestine against the British begins to oppose Jewish immigration.
","['Jewish', 'British', 'Arab', 'Palestine']"
293,"1937
May 6 : German zeppelin Hindenburg crashes in Lakehurst, New Jersey , ending the airship era .
","['German', 'Hindenburg', 'New Jersey', 'Lakehurst']"
294,"May 28 : Neville Chamberlain becomes Prime Minister of the United Kingdom.
",['the United Kingdom']
295,"July 7 : Japanese invasion of China , and the beginning of World War II in the Far East .
","['the Far East', 'China', 'Japanese']"
296,"August 28 : Toyota founded in Japan by Kiichiro Toyoda .
September 21 : J. R. R. Tolkien publishes The Hobbit .
",['Japan']
302,"1938
March 12 : Anschluss unifies Germany and Austria .
","['Germany', 'Austria']"
303,"April 18 : DC Comics hero Superman has its first appearance.
June 15 : Hungarian newspaper editor László Bíró fills a British patent of the first commercially successful ballpoint pen .","['Hungarian', 'British']"
304,"This would popularize the instrument, currently the most widely used for writing, after World War II.
July 6 – 15 : Évian Conference ends with all attendee nations save the Dominican Republic refusing to accept more Jewish refugees from the Third Reich .
September 30 : Munich Agreement hands Czechoslovakia to Nazi Germany.
November 9 – 10 : Kristallnacht , a pogrom of over 90 Jews in Germany.
","['Jews', 'Nazi Germany', 'Dominican Republic', 'Jewish', 'Czechoslovakia', 'Germany']"
309,"April 1 : End of Spanish Civil War ; Francisco Franco becomes dictator of Spain.
","['Francisco Franco', 'Spain']"
310,"August 23 : The Molotov–Ribbentrop Pact between Germany and the Soviet Union.
","['the Soviet Union', 'Germany']"
312,Nazi invasion of Poland triggers World War II in Europe.,"['Poland', 'Nazi', 'Europe']"
313,"Soviet invasion of Poland begins 16 days later.
September 3 : Britain and France declare war on Germany; World War II begins.
September 13 :","['Soviet', 'Britain', 'Poland', 'France', 'Germany']"
314,"Ferrari founded in Modena , Italy (as Auto Avio Costruzioni) by Enzo Ferrari .
","['Italy', 'Modena']"
315,"The Palestinian revolt against the British ends.
1940s
1940
January : Chechen insurgency begins in Soviet Union.
March 13 : The Winter War between Soviet Union and Finland ends with a costly victory for the USSR.
","['Palestinian', 'Chechen', 'USSR', 'Soviet Union', 'British', 'Finland']"
316,"April – May : The Katyn massacre of Polish soldiers in USSR and the Soviet occupation of the Baltic states .
","['USSR', 'Soviet', 'Baltic', 'Polish']"
317,"May 10 : Winston Churchill becomes Prime Minister of the United Kingdom .
",['the United Kingdom']
318,"May 15 : McDonald's founded in San Bernardino, California .
","['San Bernardino', 'California']"
319,"May – June : Nazis invade Denmark and Norway , followed by Belgium , the Netherlands and France ; their governments (except Denmark) are exiled to the United Kingdom.
","['Netherlands', 'France', 'the United Kingdom', 'Belgium', 'Norway', 'Denmark']"
320,"June : The Soviet Union annexes the Baltic states .
","['The Soviet Union', 'Baltic']"
321,"July – October : Battle of Britain , the first entirely aerial military campaign, becomes the first significant defeat for the Axis powers.
",['Britain']
322,"August 20 : Leon Trotsky is assassinated in Mexico.
",['Mexico']
323,"September 7 : The Blitz , a German bombing campaign against the United Kingdom, begins.
","['German', 'the United Kingdom']"
325,"1941
June – December : Hitler commences the Nazi invasion of the Soviet Union .
June 25 : Continuation War between Finland and the Soviet Union begins.","['the Soviet Union', 'Finland', 'Nazi']"
326,"Siege of Tobruk in North Africa is the first major defeat for Hitler's land forces.
September 8 : Siege of Leningrad begins.
October :","['Tobruk', 'North Africa']"
327,"Operation Reinhard commences the main phase of The Holocaust .
December 7 : The Japanese Attack on Pearl Harbor leads to the USA joining World War II .
","['USA', 'Japanese']"
328,"Mount Rushmore construction ends.
",['Mount Rushmore']
330,"May 4 – 8 : Battle of the Coral Sea .
",['the Coral Sea']
335,"Internment of Japanese-American citizens in the US begins.
","['US', 'Japanese-American']"
337,"Internment of Japanese-American citizens in the US begins.
","['US', 'Japanese-American']"
340,"The Manhattan Project begins.
",['Manhattan']
344,"May 15 : American Broadcasting Company (ABC) founded in New York City.
",['New York City']
345,"July – August : The failed Battle of Kursk becomes the last Nazi offensive on the Eastern Front .
",['Nazi']
346,"November – December : Tehran Conference between Franklin Roosevelt , Winston Churchill and Joseph Stalin agrees to launch Operation Overlord .
",['Tehran']
347,"A famine in Bengal kills up to 3 million people.
",['Bengal']
348,"1944
January 27 : The Siege of Leningrad ends with Soviet victory after over a million deaths.
",['Soviet']
349,"February – March : Chechen insurgency ends with deportation of the entire Chechen population .
June 1 : First operational electronic computer, Colossus , comes online.
June 6 : D-Day landings in Normandy.
June – August : Soviet forces launch Operation Bagration on the Eastern Front, the biggest defeat in German military history.
July 20 : Adolf Hitler survives the 20 July plot to assassinate him led by Claus von Stauffenberg .
","['Chechen', 'Soviet', 'German']"
350,"August 19 – 25 : Liberation of Paris .
",['Paris']
353,"February 13 – 15 : Allied bombing of Dresden .
",['Dresden']
355,"February 3 – March 3 : Battle of Manila .
",['Manila']
